Name;Origin;Discipline;Biography;Photo Profile
ACKERMANN Simone;South Africa;Triathlon;Simone Ackermann, born February 1, 1990, is a dedicated triathlete from South Africa. She showcased her elite skills at the 2020 Summer Olympics and continues to represent her nation in international competitions, embodying the perseverance and determination essential for success in triathlon.;
ACOSTA Briseida;Mexico;Taekwondo;Briseida Acosta, a talented taekwondo athlete born on August 30, 1993, has become a notable representative of Mexico in international competitions. She earned a silver medal at the 2013 World Taekwondo Championships. Briseida's passion for taekwondo and her competitive achievements continue to inspire aspiring athletes across the country.;
ACOSTA FERNANDEZ Yasmani;Chile;Wrestling;;
ACOSTA GIRALDO Valentina;Colombia;Archery;Valentina Acosta Giraldo, born on April 19, 2000, is a talented archer from Colombia who has earned recognition for her remarkable performances. Winning a gold medal at the 2019 World Youth Archery Championships, Valentina represents the pinnacle of talent and ambition in Colombian archery.;
ACOSTA Marcelo;El Salvador;Swimming;"Marcelo Acosta, born on July 11, 1996, is a pioneering Salvadoran swimmer who made history by earning an ""A"" cut qualification for the Olympics. Competing in long-distance events, Marcelo’s achievements have set a benchmark for aspiring swimmers in El Salvador, highlighting his dedication to the sport.";
ACUNA Yenny;Chile;Football;Yenny Andrea Acuña, born May 18, 1997, is a skilled footballer from Chile currently playing as a striker. Through her participation in various international competitions, Yenny has been instrumental in advocating for women's football development within her country and inspiring future generations of female athletes.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/2021-06-15_Fussball%2C_Frauen%2C_L%C3%A4nderspiel%2C_Deutschland_-_Chile_1DX_4972_by_Stepro.jpg/500px-2021-06-15_Fussball%2C_Frauen%2C_L%C3%A4nderspiel%2C_Deutschland_-_Chile_1DX_4972_by_Stepro.jpg
ADACHI Kazuya;Japan;Canoe Slalom;Kazuya Adachi, a proficient slalom canoeist from Japan, has been active in international competitions since 2006. His skilled paddling and competitive drive reflect the dedication needed in this challenging sport, and he represents Japan with pride on various global platforms.;https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/2022_ICF_Canoe_Slalom_World_Championships_-_Kazuya_Adachi_-_Japan_-_by_2eight_-_9SC3083.jpg/500px-2022_ICF_Canoe_Slalom_World_Championships_-_Kazuya_Adachi_-_Japan_-_by_2eight_-_9SC3083.jpg
ADACHI Seiya;Japan;Water Polo;Seiya Adachi, born June 24, 1995, is a prominent water polo player from Japan. He has represented Japan in the 2016 and 2020 Olympic Games, showcasing his strategic abilities and playing a vital role in the growth of water polo in the country.;
ADAM Amal;Egypt;Archery;;
ADAM Constantin;Romania;Rowing;;
ADAMEK Klaudia;Poland;Athletics;Klaudia Natalia Adamek (born 22 March 1999) is a Polish athlete. She competed at the 2021 World Athletics Relays, winning the silver medal in the women's 4 × 100 metres relay event.;https://www.shutterstock.com/editorial/image-editorial/MaT3E957O8DcY824NDQ2ODU=/klaudia-adamek-440nw-11887242d.jpg
ADAMKIEWICZ Patrycja;Poland;Taekwondo;Patrycja Adamkiewicz, born on June 11, 1998, is a promising taekwondo athlete representing Poland. She competed at the Tokyo Olympics, where her performance garnered attention and admiration. Patrycja’s dedication to her craft positions her as a significant competitor in the international taekwondo community.;https://pasja.azs.pl/wp-content/uploads/2020/12/Patrycja-Adamkiewicz-z-brazem-ME-696x629.jpg
ADAMS Liam;Australia;Athletics;Liam Adams, born September 4, 1986, is an accomplished marathon runner from Australia. His participation in various prestigious marathons, including the Olympics and Commonwealth Games, underscores his exceptional endurance and skill. Liam is recognized for his commitment to both personal excellence and the promotion of the sport.;
ADAMS Paul;Australia;Shooting;;
ADAMS Taeyanna;Federated States of Micronesia;Swimming;Taeyanna Adams (born March 14, 2002) is a swimmer from the Federated States of Micronesia. She currently holds national records in multiple swimming events and represented her country at the Tokyo 2020 Olympics. Competing in the 100-meter breaststroke, Adams has achieved significant recognition for her talents and has a passion for swimming that began at a young age. She continues to inspire others within her community and hopes to elevate the sport in Micronesia;
ADAMUS Bartlomiej Stejan;Poland;Weightlifting;Bartłomiej Stefan Adamus (born May 12, 2000) is a Polish weightlifter who competed in the Men's 96 kg event at the Tokyo 2020 Olympics. His performance in international competitions has contributed to his reputation as a rising star in Polish weightlifting. Adamus has been actively participating in various championships and is known for his dedication to the sport ;
ADAO de SA Mateus Daniel;Brazil;Athletics;Mateus Daniel Adão de Sá (born November 21, 1995) is a Brazilian athlete specializing in the triple jump. He represented Brazil at the 2017 World Championships in Athletics and is known for his remarkable performance in various national and international competitions. Over the years, he has become a prominent figure in Brazilian athletics, focusing on track and field events;https://media.aws.iaaf.org/athletes/14530407.jpg
ADAR Yasemin;Turkey;Wrestling;Yasemin Adar (born December 6, 1991) is a retired Turkish freestyle wrestler who has made history as the first female world champion from Turkey, winning multiple titles in her career including the World and European championships. Competing in the 76 kg division, she has been recognized for her achievements and has inspired many young athletes in Turkey. Adar has also competed in the Olympics, becoming a prominent figure in women's wrestling worldwide;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Yasemin_Adar.jpg/500px-Yasemin_Adar.jpg
ADEBAYO Edrice Femi;United States of America;Basketball;"Edrice Femi ""Bam"" Adebayo (born July 18, 1997) is an American professional basketball player for the Miami Heat in the NBA. Known for his defensive skills and versatility on the court, Adebayo has rapidly established himself as one of the league's top centers. He was a key player in the Heat's playoff runs and has represented the United States in various international basketball competitions, contributing to his team's success";https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Bam_Adebayo_%28cropped%29.jpg/500px-Bam_Adebayo_%28cropped%29.jpg
ADEGOKE Enoch;Nigeria;Athletics;Enoch Obaloluwa Adegoke, born on March 8, 2000, in Igbeti, Oyo State, Nigeria, is a prominent Nigerian sprinter specializing in the 100 meters. He gained recognition in his athletics career when he became the African U20 champion in the same distance in 2019. Adegoke's talent has also allowed him to compete on the international stage, including participation in the Olympic Games. Standing at 5 feet 7 inches tall, Adegoke has rapidly made a name for himself in athletics, building on his early successes. His journey showcases his dedication to the sport and potential for future accomplishments as he prepares for upcoming competitions, including the Paris 2024 Olympics;https://www.makingofchamps.com/wp-content/uploads/2021/08/229887535_1520648748299378_7644928932316065780_n.jpg
